,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
AC002400.1,9.788631076805544,-0.5446856218671615,0.7288215019596999,-0.7473511969701464,0.45485159604145275,0.9999963907630119,False
AC002401.1,2.4495365234558673,-0.03417707939181166,1.5398534796489458,-0.022195020398696187,0.9822923897597804,0.9999963907630119,False
AC002401.2,4.180307809245094,-0.2993953205837012,1.0519060863809764,-0.28462172095016003,0.7759339683412511,0.9999963907630119,False
AC002401.3,4.038841180811062,0.8890407864195822,1.1417090773046807,0.7786929298297323,0.4361606219205396,0.9999963907630119,False
AC002454.1,37.904949755458624,-0.33769187433124587,0.3888393671661969,-0.868461125200089,0.38514194502371646,0.9999963907630119,False
AC002456.1,1.5768085101839642,0.718269860815716,1.8466148654457089,0.3889657092316055,0.6973015129257489,0.9999963907630119,False
AC002464.1,61.06576731531825,-0.1356177597264933,0.3312523585773057,-0.4094091897457195,0.6822393967494891,0.9999963907630119,False
AC002467.1,22.460090969174612,-0.44740223194540046,0.505088100307795,-0.8857904822401449,0.3757304395675781,0.9999963907630119,False
AC002470.1,2.8255115702541502,0.46231614510943747,1.3104752168799443,0.3527851111981703,0.7242495465719715,0.9999963907630119,False
AC002511.1,1.7564565673717079,-0.3244726102216973,1.814325764897883,-0.17883922308734884,0.8580639461680034,0.9999963907630119,False
AC002519.1,7.457505260533993,0.2807290630811753,0.8173542146316052,0.3434607151413594,0.7312518900792346,0.9999963907630119,False
AC002524.1,19.7584791383925,0.6131092933836383,0.49976681471614726,1.2267907258545492,0.21990125743640143,0.9999963907630119,False
AC002525.1,15.848387624180768,0.08979701778967414,0.6213866866343073,0.14451068830594474,0.8850972169940141,0.9999963907630119,False
AC002543.1,4.318449653845822,-0.12788706591084723,1.3204903635412597,-0.09684816295658737,0.9228469751663991,0.9999963907630119,False
AC002550.2,6.76288105486118,-0.7510505475722985,0.8576372734505742,-0.8757205065849808,0.3811819944552022,0.9999963907630119,False
AC002553.1,7.955335148067069,-0.765882862170787,0.9749051544781523,-0.7855973051868304,0.43210344373355924,0.9999963907630119,False
AC002553.2,2.9078716460000087,1.3382550113186449,1.4327288102329323,0.934060236494492,0.35027282180801833,0.9999963907630119,False
AC002558.1,2.6111755404094796,-0.8047662089499477,1.5127555197389801,-0.5319869591940453,0.5947350275912442,0.9999963907630119,False
AC002558.2,3.843355577483193,0.442712395665915,1.2059507660640092,0.36710652551002804,0.713539559964179,0.9999963907630119,False
AC002558.3,9.801609260258383,-0.10070810164881026,0.7345002259265923,-0.1371110560541547,0.8909430135384752,0.9999963907630119,False
AC002563.1,2.694883464341455,-1.0872766025202905,1.3982374813997753,-0.7776051042715706,0.4368018509949957,0.9999963907630119,False
AC003002.3,1.6822737322522314,-1.1445211201902135,1.7161808840520092,-0.6669000516355411,0.5048359779688578,0.9999963907630119,False
AC003070.1,16.123096295056172,0.2897548156886279,0.5550227776575978,0.5220593232434545,0.6016290268734501,0.9999963907630119,False
AC003072.1,8.027094985434992,0.7670131922452637,0.7719907718085247,0.993552281005121,0.32044088573484275,0.9999963907630119,False
AC003101.2,2.034653259395249,0.9336413943929969,1.7019620893665135,0.5485676797539639,0.5833021711557261,0.9999963907630119,False
AC003102.1,41.513361156608575,0.011163951229373073,0.42281145285995403,0.026404088994890256,0.9789350327419872,0.9999963907630119,False
AC003681.1,145.18739848053062,0.12301315201385997,0.2125424291720093,0.5787698601783937,0.5627444705466782,0.9999963907630119,False
AC003682.1,2.3959351032373237,-0.34395588914472314,1.4731168213162558,-0.23348853544241827,0.8153820709592655,0.9999963907630119,False
AC003956.1,3.7250940943869786,1.4944696748825161,1.1671519911508166,1.2804413531514118,0.20038995811544402,0.9999963907630119,False
AC003957.1,4.351551973157593,-1.3932265604891247,1.0718231803816145,-1.2998660469286332,0.19364688386721818,0.9999963907630119,False
AC003986.2,20.091919643504458,-0.39083252612406355,0.5252657477688681,-0.7440662708051563,0.45683638356055867,0.9999963907630119,False
AC003991.1,7.240541135189449,0.6336214608679203,0.8262171544163152,0.7668945839251486,0.44314419410322936,0.9999963907630119,False
AC003991.2,2.1146442483130623,0.0022522259430470797,1.6509785990443713,0.0013641763402328327,0.9989115450975139,0.9999963907630119,False
AC004023.1,1.574889039187102,3.0336930671927256,2.1499033515607233,1.4110834633521616,0.15822000539748693,0.9999963907630119,False
AC004057.1,377.48649828323045,-0.06699767124932483,0.16444081378058067,-0.40742726643716476,0.6836942041595753,0.9999963907630119,False
AC004076.2,13.465985494907997,-0.07279727171446082,0.6793545566717399,-0.10715652231892811,0.9146648069261523,0.9999963907630119,False
AC004080.2,35.757644037939905,0.3111665059630319,0.4170177572383725,0.7461708777671193,0.4555641978492916,0.9999963907630119,False
AC004112.1,2.7373366830485,0.13704847540281334,1.3780782348904965,0.09944898042287371,0.9207817947261009,0.9999963907630119,False
AC004130.1,2.0628058776345397,-0.4468065885061706,1.5545496674445987,-0.28741866397915783,0.7737917720261056,0.9999963907630119,False
AC004148.2,41.760497886030905,-0.0011730884769914603,0.3565520290875818,-0.00329009059349178,0.99737489224781,0.9999963907630119,False
AC004160.1,26.86346733620829,-0.4579170491565273,0.45108110419814845,-1.0151545806170057,0.3100321473534161,0.9999963907630119,False
AC004223.2,3.0615794303132176,-1.1349979307241294,1.3168944116293158,-0.861874665653614,0.3887564915551658,0.9999963907630119,False
AC004223.3,5.157234477258342,-0.0029869210328573753,1.1039197054531817,-0.0027057412039140864,0.9978411335020588,0.9999963907630119,False
AC004232.3,4.4182055905225806,0.7485339683050405,1.094630435076383,0.6838234570490525,0.4940866524859967,0.9999963907630119,False
AC004233.2,4.210879864624315,0.4759465856258031,1.3062213847170614,0.3643690045151857,0.715582477774146,0.9999963907630119,False
AC004233.3,2.7224810141826694,1.2034238989368071,1.3268332942903127,0.9069895246941977,0.36441233675930185,0.9999963907630119,False
